"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
192.0,3.0,23219.0,24678.0,127.45,127.45,406.61,46.367,14.074,701.7,0.0,1.0,0.0,0.6968,698.32
193.0,3.0,46579.0,24736.0,166.15,166.15,664.44,29.26,17.866,703.65,0.0,1.0,0.0,0.74033,696.86
194.0,3.0,53508.0,25089.0,112.07,112.07,211.14,26.725,16.726,702.29,0.0,1.0,0.0,1.1558,694.49
196.0,3.0,17452.0,25727.0,135.44,135.44,1223.0,48.492,7.4895,701.25,0.0,1.0,0.0,0.3414,698.71
197.0,3.0,41918.0,25735.0,177.77,177.77,871.93,36.193,12.864,705.19,0.0,1.0,0.0,0.64426,699.08
198.0,3.0,23293.0,25997.0,149.4,149.4,2249.7,49.417,7.2376,702.44,0.0,1.0,0.0,0.4861,699.05
199.0,3.0,4144.0,26141.0,155.81,155.81,897.22,42.535,12.544,703.11,0.0,1.0,0.0,0.24863,702.5
200.0,3.0,10985.0,26164.0,138.11,138.11,916.4,42.096,10.225,705.1,0.0,1.0,0.0,0.73313,703.5
202.0,3.0,5278.1,26682.0,133.13,133.13,1412.8,44.854,7.2217,694.42,0.0,1.0,0.0,0.096457,693.65
203.0,3.0,22425.0,26930.0,183.55,183.55,995.88,46.275,13.561,702.25,0.0,1.0,0.0,-0.50529,698.98
204.0,3.0,20793.0,27503.0,125.52,125.52,442.52,39.917,11.992,702.75,0.0,1.0,0.0,1.6111,699.72
206.0,3.0,18242.0,28946.0,129.95,129.95,561.53,36.461,11.816,694.56,0.0,1.0,0.0,0.50579,691.9
207.0,3.0,50806.0,29703.0,144.78,144.78,492.79,28.85,14.365,707.03,0.0,1.0,0.0,0.65537,699.62
208.0,3.0,46682.0,30659.0,136.12,136.12,478.28,20.735,13.808,702.91,0.0,1.0,0.0,2.1592,696.11
209.0,3.0,45658.0,31015.0,143.9,143.9,928.65,32.805,9.0026,702.35,0.0,1.0,0.0,0.47296,695.7
210.0,3.0,6476.5,31176.0,200.03,200.03,854.93,33.775,13.464,703.94,0.0,1.0,0.0,0.016558,703.0
213.0,3.0,5409.6,35598.0,130.31,130.31,702.08,33.933,9.3982,702.85,0.0,1.0,0.0,0.7501,702.06
214.0,3.0,34611.0,35894.0,126.62,126.62,568.3,32.795,10.213,703.48,0.0,1.0,0.0,1.1181,698.43
215.0,3.0,6951.0,36229.0,174.76,174.76,768.51,31.673,13.673,699.14,0.0,1.0,0.0,0.3759,698.13
216.0,3.0,18923.0,37250.0,155.46,155.46,955.94,35.566,9.8307,706.6,0.0,1.0,0.0,-0.20646,703.84
217.0,3.0,5364.8,37737.0,115.15,115.15,376.3,28.676,11.463,690.47,0.0,1.0,0.0,0.65061,689.69
218.0,3.0,1243.1,38563.0,128.85,128.85,350.89,27.458,16.299,700.33,0.0,1.0,0.0,0.60382,700.14
219.0,3.0,8647.2,38927.0,138.16,138.16,1417.0,35.738,8.1275,699.54,0.0,1.0,0.0,0.25745,698.28
221.0,3.0,17629.0,40368.0,133.15,133.15,906.9,29.738,8.6578,699.92,0.0,1.0,0.0,1.1091,697.35
222.0,3.0,8450.7,40596.0,128.42,128.42,761.29,36.204,10.479,698.42,0.0,1.0,0.0,0.53639,697.19
224.0,3.0,20968.0,42677.0,149.17,149.17,969.55,29.218,8.5264,702.68,0.0,1.0,0.0,0.33629,699.62
225.0,4.0,20873.0,391.59,151.57,151.57,271.97,45.215,30.052,702.51,0.0,1.0,0.0,-0.21299,699.47
226.0,4.0,38969.0,457.31,118.3,118.3,149.87,35.212,31.539,708.99,0.0,1.0,0.0,-1.3001,703.31
227.0,4.0,10044.0,554.74,116.63,116.63,328.09,40.415,15.434,697.19,0.0,1.0,0.0,-0.97868,695.72
229.0,4.0,40112.0,1653.3,139.93,139.93,437.34,40.865,17.303,699.78,0.0,1.0,0.0,-1.4087,693.93
230.0,4.0,43245.0,2249.7,290.96,290.96,1409.8,36.434,21.544,707.17,0.0,1.0,0.0,-1.3895,700.87
231.0,4.0,27281.0,2379.3,145.64,145.64,505.56,42.94,19.262,704.56,0.0,1.0,0.0,-0.56931,700.58
235.0,4.0,23963.0,3753.9,163.24,163.24,1023.2,48.308,11.291,699.42,0.0,1.0,0.0,-0.57711,695.93
236.0,4.0,42947.0,4425.7,120.96,120.96,372.01,38.07,14.801,704.9,0.0,1.0,0.0,-1.144,698.64
237.0,4.0,53805.0,5649.7,190.33,190.33,487.42,27.956,24.384,702.63,0.0,1.0,0.0,0.12067,694.79
238.0,4.0,13123.0,6385.7,169.42,169.42,1251.3,47.438,12.175,701.88,0.0,1.0,0.0,0.048849,699.96
239.0,4.0,44620.0,6391.0,160.46,160.46,392.08,30.479,25.041,710.1,0.0,1.0,0.0,-0.37366,703.59
245.0,4.0,10537.0,9143.7,146.71,146.71,560.49,44.173,13.712,699.88,0.0,1.0,0.0,-0.25808,698.34
246.0,4.0,45805.0,9448.4,127.69,127.69,269.21,33.635,20.777,708.93,0.0,1.0,0.0,-1.2,702.25
247.0,4.0,24220.0,10380.0,156.07,156.07,857.77,48.84,11.591,700.52,0.0,1.0,0.0,0.2788,696.99
248.0,4.0,26944.0,10900.0,165.85,165.85,1506.3,50.456,10.465,706.39,0.0,1.0,0.0,-0.68927,702.46
249.0,4.0,2616.5,11428.0,115.29,115.29,424.05,36.297,13.87,694.91,0.0,1.0,0.0,0.13209,694.53
250.0,4.0,33441.0,11917.0,144.68,144.68,730.92,42.293,11.829,702.71,0.0,1.0,0.0,0.096482,697.84
252.0,4.0,15309.0,17447.0,137.86,137.86,2088.1,48.016,7.5584,698.38,0.0,1.0,0.0,0.055711,696.15
253.0,4.0,10299.0,18746.0,137.63,137.63,860.21,47.329,9.7229,704.14,0.0,1.0,0.0,-0.083977,702.64
254.0,4.0,9315.8,19120.0,126.64,126.64,416.13,42.992,12.85,701.49,0.0,1.0,0.0,-0.49739,700.13
255.0,4.0,11828.0,19126.0,140.81,140.81,568.22,45.336,14.605,697.32,0.0,1.0,0.0,0.90129,695.59
257.0,4.0,2842.8,19630.0,161.5,161.5,1268.9,41.709,9.8973,698.78,0.0,1.0,0.0,0.010301,698.36
258.0,4.0,44796.0,21696.0,175.85,175.85,686.87,33.64,15.442,698.78,0.0,1.0,0.0,0.013134,692.25
259.0,4.0,46978.0,22787.0,224.97,224.97,570.2,33.4,24.255,707.73,0.0,1.0,0.0,0.34294,700.89
260.0,4.0,49700.0,23553.0,148.22,148.22,1524.1,36.365,9.6624,698.62,0.0,1.0,0.0,0.50887,691.38
262.0,4.0,46617.0,24741.0,122.97,122.97,409.91,34.902,13.812,705.75,0.0,1.0,0.0,0.61633,698.95
263.0,4.0,53493.0,25066.0,149.36,149.36,381.1,26.769,20.122,702.85,0.0,1.0,0.0,1.3136,695.05
265.0,4.0,17463.0,25736.0,143.82,143.82,1357.6,38.569,6.2196,699.07,0.0,1.0,0.0,0.46956,696.52
266.0,4.0,23297.0,26008.0,148.09,148.09,3414.9,54.332,7.7477,697.53,0.0,1.0,0.0,0.40812,694.13
267.0,4.0,4175.7,26144.0,124.57,124.57,443.92,34.972,13.325,701.99,0.0,1.0,0.0,0.84345,701.38
