"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2","fwhm0","fwhm1"
977.0,90.0,6944.150773423702,14551.207445950793,146.59,146.59,2311.5,197.47,16.773,695.03,0.0,-102.0,153.1,-0.62002,696.32,632.28,549.37
990.0,91.0,4678.35300164949,14857.202617714847,202.4,202.4,2108.1,621.52,30.729,692.98,0.0,-86.0,280.32,-2.6105,693.85,465.26,415.29
992.0,92.0,7621.755229875277,7347.497789478899,234.01,234.01,5563.0,550.28,23.167,694.51,0.0,206.0,210.9,-3.37,695.93,688.05,1012.4
993.0,92.0,4606.755229875277,7723.897789478899,903.39,903.39,258570.0,325.96,6.072,694.43,0.0,-27.0,55.407,1.4082,695.29,734.09,727.11
1000.0,92.0,11140.755229875278,13212.197789478898,537.01,537.01,26151.0,791.51,16.641,695.2,0.0,-204.0,152.05,0.46128,697.28,851.38,632.18
1015.0,94.0,12337.75968632685,9804.588133007004,1060.3,1060.3,435090.0,253.3,4.7327,694.47,0.0,626.0,42.154,0.95523,696.77,712.86,1445.6
1029.0,95.0,12201.761914552637,9826.583304771058,678.6,678.6,80412.0,467.97,8.8931,698.14,0.0,66.0,80.981,0.086303,700.41,797.06,932.09
1038.0,96.0,5740.464142778426,6997.078476535111,330.57,330.57,10387.0,5.8976,17.521,697.25,0.0,-31.0,159.8,0.03617,698.32,769.92,757.57
1040.0,96.0,9164.464142778426,8178.378476535111,550.68,550.68,30641.0,413.5,17.38,698.57,0.0,-178.0,158.75,-1.4424,700.27,769.73,593.17
1045.0,96.0,4693.464142778426,14763.178476535111,117.65,117.65,726.61,658.94,31.03,693.54,0.0,-83.0,283.07,-1.6633,694.41,429.14,385.53
1048.0,97.0,8421.866371004213,2423.373648299164,172.01,172.01,1978.9,121.2,15.781,698.62,0.0,186.0,143.6,0.30219,700.19,524.85,749.61
1053.0,97.0,9348.466371004213,8185.473648299165,422.98,422.98,14426.0,631.89,21.68,696.27,0.0,-54.0,197.76,-0.94976,698.01,1005.7,949.5
1059.0,97.0,12826.766371004212,17336.173648299162,248.04,248.04,4625.4,614.9,22.234,702.1,0.0,-100.0,202.89,-0.91925,704.49,678.75,591.95
1079.0,99.0,12570.770827455788,12421.163991827272,283.35,283.35,10309.0,5.4371,13.618,693.44,0.0,34.0,124.11,-0.10572,695.78,496.23,548.23
1116.0,103.0,3794.779740358937,8130.944678883483,630.01,630.01,66205.0,332.41,9.1819,700.89,0.0,-64.0,83.822,0.33182,701.6,498.94,462.82
1129.0,104.0,12260.781968584723,9831.839850647537,1066.1,1066.1,420080.0,660.76,5.9387,696.22,0.0,-453.0,54.871,1.716,698.5,690.75,410.68
1130.0,104.0,11056.781968584723,10049.139850647536,199.48,199.48,4445.5,811.57,16.457,694.02,0.0,-313.0,150.55,0.16456,696.08,556.13,363.7
1150.0,106.0,4608.986425036299,7591.030194175642,445.05,445.05,26199.0,492.18,15.688,693.56,0.0,-97.0,143.19,-0.11376,694.42,475.53,416.49
1160.0,106.0,13535.786425036298,17121.130194175643,102.01,102.01,642.91,630.69,22.939,698.39,0.0,10.0,209.15,0.43524,700.91,422.89,447.52
1162.0,107.0,5967.288653262085,7115.925365939695,121.79,121.79,1112.7,0.97192,26.884,699.79,0.0,395.0,244.5,-0.74007,700.9,537.09,979.01
1164.0,107.0,6399.088653262085,8287.925365939695,121.32,121.32,1008.4,645.79,23.483,698.93,0.0,241.0,213.73,-1.1997,700.12,246.8,381.58
1167.0,107.0,9388.988653262086,11921.125365939695,72.818,72.818,567.57,673.52,15.28,701.51,0.0,194.0,139.01,1.0188,703.26,296.54,428.41
1193.0,109.0,4742.19310971366,14792.115709467802,241.92,241.92,4204.9,670.15,26.469,698.48,0.0,-166.0,241.6,-1.3203,699.37,716.23,562.25
1208.0,111.0,8677.497566165235,9774.506052995908,469.85,469.85,14777.0,678.78,28.272,695.51,0.0,107.0,257.61,-0.67312,697.12,504.65,633.96
1216.0,112.0,7393.599794391023,7572.00122475996,226.32,226.32,2962.7,6.3781,34.754,696.37,0.0,383.0,316.27,0.97492,697.74,438.24,790.86
1224.0,113.0,9488.70202261681,7776.5963965240135,174.25,174.25,3779.6,651.66,15.453,694.0,0.0,29.0,140.86,0.48458,695.77,446.04,488.29
1239.0,114.0,11496.804250842597,10671.091568288068,520.26,520.26,31746.0,274.54,13.458,694.35,0.0,-60.0,122.81,0.11953,696.49,613.68,573.68
1245.0,115.0,5839.406479068384,7040.986740052119,286.95,286.95,7345.6,341.97,18.704,697.19,0.0,399.0,169.9,-0.062636,698.28,501.3,916.11
1246.0,115.0,4432.506479068384,7476.486740052119,146.76,146.76,1588.1,9.6094,30.469,693.13,0.0,311.0,277.32,1.8139,693.96,675.23,1136.8
1248.0,115.0,6204.306479068384,8043.086740052119,250.37,250.37,5952.6,598.58,17.171,696.53,0.0,-29.0,156.61,-0.44949,697.68,452.42,446.9
1268.0,117.0,8039.110935519959,7947.177083580226,167.3,167.3,1482.7,666.0,31.701,696.52,0.0,-11.0,289.06,-1.3288,698.02,309.61,315.52
1282.0,118.0,6824.413163745746,15624.07225534428,111.13,111.13,799.62,686.05,25.95,695.92,0.0,-19.0,236.64,1.1207,697.19,604.35,607.02
1296.0,120.0,7194.81762019732,7495.062598872385,224.75,224.75,4293.3,347.68,19.89,695.95,0.0,391.0,180.73,-1.0288,697.29,501.48,911.12
1308.0,120.0,6781.61762019732,15684.062598872386,172.96,172.96,2253.9,671.78,23.396,694.06,0.0,-62.0,213.43,0.32678,695.32,487.25,453.79
1309.0,121.0,7166.619848423107,6386.657770636439,547.29,547.29,57586.0,0.1,10.657,701.3,0.0,252.0,96.764,0.33176,702.64,572.94,898.22
1318.0,121.0,11445.819848423109,14649.057770636437,141.56,141.56,1743.7,166.54,19.222,700.28,0.0,302.0,174.78,0.41954,702.41,405.83,676.27
1319.0,122.0,7301.922076648895,6397.952942400491,980.97,980.97,316810.0,0.10001,6.3408,694.22,0.0,-101.0,57.976,1.5244,695.58,460.03,400.47
1321.0,122.0,11504.822076648896,8106.052942400492,497.11,497.11,43480.0,0.1,13.384,696.51,0.0,-21.0,122.07,2.9472,698.65,872.34,872.91
1322.0,122.0,9371.222076648895,8117.652942400492,343.68,343.68,9376.3,586.62,20.93,696.19,0.0,-156.0,191.08,-1.0534,697.94,945.46,753.08
1342.0,123.0,9290.82430487468,15852.048114164543,127.27,127.27,949.77,585.15,39.945,695.91,0.0,-174.0,364.49,2.472,697.64,976.83,757.12
